Manufacturer,MPN,Description,Total Qty,Used In (Boards),Needs Verification,Notes
Microchip,ATMEGA32A-PU,8-bit AVR MCU DIP-40,2,Discipline x2,No,Confirmed via Octopart/Mouser 556-ATMEGA32A-PU
Microchip,ATMEGA328P-PU,8-bit AVR MCU DIP-28,1,Lattice60 (1),No,Lattice60 qty confirmed. Mercutio and Rosalina removed (parts purchased separately).
TE Connectivity,1-2199299-5,40-pin DIP IC Socket,2,Discipline x2,No,Confirmed via Octopart/Mouser 571-1-2199299-5
TE Connectivity,1-2199299-2,28-pin narrow DIP IC Socket,1,Lattice60 (1),No,Lattice60 qty confirmed. Mercutio and Rosalina removed (parts purchased separately).
Abracon,ABL-16.000MHZ-B4Y,16MHz Crystal HC-49 thru-hole,2,Discipline (2),No,Discipline qty confirmed. Mercutio removed (parts purchased separately).
Yageo,CFR-12JR-52-75R,75 Ohm Resistor 1/6W,4,Discipline x2,No,Confirmed
Yageo,MFR-12FTF52-1K5,1.5K Ohm Resistor 1/6W,4,Discipline x2,No,Confirmed
Yageo,MFR-12FTF52-5K1,5.1K Ohm Resistor 1/6W,4,Discipline x2,No,Confirmed
Yageo,MFR-12FTF52-10K,10K Ohm Resistor 1/6W,2,Discipline x2,No,Confirmed
Murata,RCE5C2A220J0A2H03B,22pF Ceramic Capacitor,6,"Discipline (4), Lattice60 (2)",No,Discipline+Lattice60 confirmed. Mercutio removed (parts purchased separately).
Murata,RDER71H104K0M1H03A,0.1uF Ceramic Capacitor,5,"Discipline (4), Lattice60 (1)",No,Discipline+Lattice60 confirmed. Mercutio removed (parts purchased separately).
Nichicon,UVR2V4R7MPD1TD,4.7uF Electrolytic Capacitor (radial),2,Discipline x2,Yes,"Substitute for obsolete UMT1H4R7MDD originally specified - verify fit/voltage rating against PCB pads"
onsemi,1N4148TR,Switching Diode DO-35,284,"Discipline (138), Lattice60 (66), Absinthe (~80 est.)",Yes,"Discipline+Lattice60 qty confirmed from official docs. Mercutio and Rosalina removed (parts purchased separately). Absinthe count is an ESTIMATE from matrix/layout inspection - recount against actual PCB before finalizing order"
Vishay,TZX3V6A-TR,3.6V Zener Diode DO-35,6,"Discipline (4), Lattice60 (2)",No,"Discipline+Lattice60 confirmed. Mercutio removed (parts purchased separately). CAUTION: visually similar to 1N4148 - keep bins separate!"
Lite-On,LTL-4222,3mm Red LED T-1,3,"Discipline (2), Lattice60 (1)",No,Confirmed
Kingbright,WP7113GT,3mm Green LED T-1,1,Lattice60,No,Confirmed
Amphenol,68602-406HLF,2x3 Pin Header 2.54mm (ISP),3,"Discipline (2), Lattice60 (1)",No,Confirmed
APEM,MJTP1230A,6x6mm Tactile Pushbutton,6,"Discipline (4), Lattice60 (2)",No,Discipline+Lattice60 confirmed. Mercutio removed (parts purchased separately).
GCT (Global Connector Technology),USB4085-GF-A,USB Type-C Receptacle THT 16-pin,2,Discipline (2),Yes,"MPN inferred/assumed - was listed TBD in original Discipline build guide; confirm against PCB silkscreen. Mercutio removed (parts purchased separately)."
Bourns,MF-R050,500mA Resettable Fuse (PTC),2,Discipline x2,No,Confirmed
TE Connectivity,1734753-1,Mini USB Type-B Socket THT,1,Lattice60,No,Confirmed
Yageo,CFR-25JR-52-1K5,1.5K Ohm Resistor 1/4W,1,Lattice60 (1),No,Lattice60 confirmed. Mercutio removed (parts purchased separately).
Yageo,CFR-25JR-52-10K,10K Ohm Resistor 1/4W,1,Lattice60,No,Confirmed
Yageo,CFR-25JR-52-1K,1K Ohm Resistor 1/4W,2,Lattice60,No,Confirmed
Yageo,CFR-25JR-52-68R,68 Ohm Resistor 1/4W,2,Lattice60 (2),No,Lattice60 confirmed. Mercutio removed (parts purchased separately).
Littelfuse,RXEF010S,100mA Resettable Fuse (PTC),1,Lattice60 (1),No,Lattice60 confirmed. Mercutio and Rosalina removed (parts purchased separately).
Kemet,ESK475M016AC3AA,4.7uF 16V Electrolytic Capacitor,1,Lattice60,No,Confirmed
Jauch,J49SMH-A-G-G-K-12M0,12MHz Crystal HC-49S,1,Lattice60,No,Confirmed
Generic,VERIFY-EC11,Rotary Encoder (PCB mount w/ push),1,"Absinthe (1, optional)",Yes,Standard EC11-style 15-detent encoder assumed; only needed if using Elite-C. Mercutio removed (parts purchased separately).
Generic,WS2812B,Addressable RGB LED (strip/individual),Optional,Absinthe (optional underglow),Yes,Only needed if adding RGB underglow strip; PCB supports up to 32 LEDs per firmware config
SparkFun-compatible / Elite-C v4,PRO-MICRO-OR-ELITE-C,Pro Micro-footprint MCU daughterboard,1,Absinthe (1),Yes,"Not sourced via Octopart - buy from a keyboard vendor (KBDfans/AliExpress/etc). CONFIRMED socketed (not soldered) via official KeyHive build guide. Elite-C v4 recommended for Absinthe if using its rotary encoder."
Generic,2.54mm-HEADER-PROMICRO,2.54mm Pin Header (Pro Micro/Elite-C socket),2 rows,Absinthe (1),Yes,"CONFIRMED via official KeyHive imgur build guide - headers soldered to PCB, controller plugs in without soldering. Exact pin count not specified - count pads on PCB."
