Manufacturer,MPN,Description,Category,Total Qty Needed,On Hand Qty,Qty to Order,Used In (Boards),Needs Verification,Notes
Microchip,ATMEGA32A-PU,8-bit AVR MCU DIP-40,IC,2,0,2,Discipline x2,No,Confirmed via Octopart/Mouser 556-ATMEGA32A-PU
Microchip,ATMEGA328P-PU,8-bit AVR MCU DIP-28,IC,3,0,3,"Lattice60 (1), Mercutio (1), Rosalina (1)",Yes,"Lattice60 and Rosalina confirmed via official docs (Rosalina via Lumberjack BOM.md, U1). Mercutio qty is an assumption (ships pre-flashed in kit, exact MPN not published by MechWild). MERGED: previously listed as 2 separate rows (Lattice60/Mercutio qty2 + Rosalina qty1)."
TE Connectivity,1-2199299-5,40-pin DIP IC Socket,Socket,2,0,2,Discipline x2,No,Confirmed via Octopart/Mouser 571-1-2199299-5
TE Connectivity,1-2199299-2,28-pin narrow DIP IC Socket,Socket,3,0,3,"Lattice60 (1), Mercutio (1), Rosalina (1)",Yes,"Lattice60 and Rosalina confirmed via official docs (Rosalina via Lumberjack BOM.md, ""IC socket""). Mercutio qty assumed same socket type. MERGED: previously listed as 2 separate rows."
Abracon,ABL-16.000MHZ-B4Y,16MHz Crystal HC-49 thru-hole,Crystal,4,0,4,"Discipline (2), Mercutio (1), Rosalina (1)",Yes,"Discipline confirmed. Mercutio and Rosalina assumed same crystal (Rosalina's official Lumberjack BOM.md spec is generic ""HC49-4H 16MHz"" - same package family, exact MPN not specified by designer). MERGED: previously listed as 2 separate rows (qty3 + qty1)."
Jauch,J49SMH-A-G-G-K-12M0,12MHz Crystal HC-49S,Crystal,1,0,1,Lattice60,No,Confirmed. Different frequency than the 16MHz crystal above - do not substitute.
Yageo,CFR-12JR-52-75R,75 Ohm Resistor 1/6W 5%,Resistor,6,0,6,"Discipline (4), Rosalina (2 - R2/R3)",Yes,"Discipline confirmed. Rosalina's official Lumberjack BOM.md just specifies ""75Ω resistor"" with no wattage/tolerance given - assumed compatible, verify package fits PCB pads before substituting. MERGED: previously 2 separate rows."
Yageo,MFR-12FTF52-1K5,1.5K Ohm Resistor 1/6W 1%,Resistor,2,0,2,Discipline x2,No,"Confirmed. NOTE: kept separate from the 1/4W 5% 1.5K resistor below - different tolerance/wattage, not necessarily interchangeable."
Yageo,CFR-25JR-52-1K5,1.5K Ohm Resistor 1/4W 5%,Resistor,5,0,5,"Lattice60 (1), Mercutio (1 - R1), Rosalina (3 - R1/R7/R8)",Yes,"Lattice60 confirmed. Mercutio and Rosalina assumed compatible (Rosalina's official Lumberjack BOM.md just specifies ""1.5kΩ"" with no wattage/tolerance given). MERGED: previously 2 separate rows (qty2 + qty3)."
Yageo,MFR-12FTF52-5K1,5.1K Ohm Resistor 1/6W 1%,Resistor,6,0,6,"Discipline (4), Rosalina (2 - R5/R6, ""for USB-C only"")",Yes,"Discipline confirmed. Rosalina assumed compatible (official Lumberjack BOM.md spec just says ""5.1kΩ resistor for USB-C only"" with no wattage/tolerance given). MERGED: previously 2 separate rows."
