Component,Qty,Manufacturer,MPN,Category,Optional?,Notes,Source
"NOTE: This is the ""combo"" hardware variant (v0.2-v1.1) of DumbPad, confirmed via official README.md Bill of Materials section (""No-Encoder"" heading). All optional parts from that section are included below.",,,,,,,https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
DumbPad PCB,1,imchipwood,N/A,PCB,Required,"4x4 (16-key) macropad PCB. Eagle .brd/.sch source files in repo; gerbers available for v1.1 (dumbpad_v1.1_gerbers.zip).",https://github.com/imchipwood/dumbpad/tree/master/combo
MX-style Mechanical Switch,16,Your choice,N/A,Switch,Required,4x4 matrix - 16 switches needed. Source from keyboard vendor, not Octopart.,https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
1N4148 Diode (thru-hole),17,onsemi,1N4148TR,Diode,Required,"CONFIRMED via official BOM: 17 diodes needed (16 keys + 1 extra, likely for the encoder or a spare). DO-35 thru-hole.",https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
Arduino Pro Micro (or pin-compatible ATmega32u4 MCU),1,SparkFun-compatible,N/A,Controller Module,Required,"CONFIRMED via official BOM. Teensy 2.0 is an alternate option for the ""combo_teensy"" variant - not applicable here since you're building the standard ""combo"" variant. Source from a keyboard vendor, not Octopart.",https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
EC11 Rotary Encoder w/ Pushbutton (7-pin),1,Generic,EC11,Encoder,Required (qty optional: 1 or 2),"CONFIRMED via official BOM: ""1x or 2x EC11 rotary encoder with pushbutton (7-pin)"" - the PCB supports up to 2 encoders but only 1 is required. Set qty to 2 if you want the second optional encoder position populated.",https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
6mm Tactile Switch (MCU Reset Button),1,APEM or similar,MJTP1230A,Switch,Optional,"CONFIRMED via official BOM as optional: ""(optional) 1 x 6mm tactile switch (to reset MCU)"". Recommended for easier firmware flashing without unplugging.",https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
3mm Resistor (LED current-limiting),3,Generic,VERIFY-VALUE,Resistor,Optional,"CONFIRMED via official BOM as optional: ""(optional) 3x 3mm resistors (for limiting current in LEDs)"". Exact resistance value NOT specified in official BOM - typical current-limiting values for 3mm LEDs at 5V are 220-330 ohm; verify against your chosen LED's forward voltage/current spec before ordering.",https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
3mm LED (Status Indicator),3,Generic,VERIFY-COLOR,LED,Optional,"NOT explicitly listed as a separate line in the official BOM (only the current-limiting resistors for them are listed), but the PCB is documented elsewhere in the repo as supporting ""3 status LEDs"" - include 3x 3mm LEDs of your chosen color if populating this optional feature. Only needed if you also add the 3x current-limiting resistors above.",https://github.com/imchipwood/dumbpad/blob/master/combo/README.md
--- NON-ELECTRONIC (source from keyboard vendor, not Octopart) ---,,,,,,,
Case/Enclosure,1,Your choice,N/A,Case,Optional,"Official combo README does not specify a fixed case design - check repo for any 3D-printable or laser-cut case files, or design/source your own for the 4x4 layout.",https://github.com/imchipwood/dumbpad
Keycap Set (4x4, 1u),16,Your choice,N/A,Keycaps,Required,,N/A
M2/M3 Screws + Standoffs (for case assembly),varies,Generic,N/A,Hardware,Optional,Only needed if using a case - exact qty/size depends on chosen case design.,N/A
Encoder Knob,1-2,Your choice,N/A,Accessory,Optional,"One per EC11 encoder populated (1 or 2, matching the encoder qty above).",N/A
