Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,Packaging,Unit Price (@ Batch Size: 1),In Stock,MOQ,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Mouser,Mouser,Mouser,Mouser,Mouser,Mouser,,,,,,,,,,
ATMEGA32A-PU,1,Microchip,ATMEGA32A-PU,https://octopart.com/part/microchip/ATMEGA32A-PU,32KB 2.7V~5.5V AVR 2KB 16MHz FLASH 32 DIP-40 Microcontroller Units (MCUs/MPUs/SOCs) ROHS,atmega32a-pu,,,Production (Last Updated: 5 years ago),6w,Compliant,1,556-ATMEGA32A-PU,Tube,4.89,249,1,https://octopart.com/opatz8j6/a1?t=GEooj14xQw_XtTDG547xu1Zet5SxzU93pxGYZkTSlq_yYbfWusLuYYD48lb01HRjmoEx6QTfIboiIR2W3r7fajniLgj28QHRjc4SH9KBnSzRWgOktG2hZADGwTGFrQ1fJngsyRGD7csVFtsSWLRC_Tucc1nLxo97WymbiotJjraOyjQ7br1MP-1ExEmP61gSczqg_BSU8rcNoN6Oo3wbXbF-ruxmXtQaGxhSGFT3G2gyXcL1Mnu7XCBsY-FPNyWM4JLn6jfKbEOXBois9u-vq_IOqyc,Mouser,556-ATMEGA32A-PU,Tube,4.89,4.89,4.89,249,1,https://octopart.com/opatz8j6/a1?t=GEooj14xQw_XtTDG547xu1Zet5SxzU93pxGYZkTSlq_yYbfWusLuYYD48lb01HRjmoEx6QTfIboiIR2W3r7fajniLgj28QHRjc4SH9KBnSzRWgOktG2hZADGwTGFrQ1fJngsyRGD7csVFtsSWLRC_Tucc1nLxo97WymbiotJjraOyjQ7br1MP-1ExEmP61gSczqg_BSU8rcNoN6Oo3wbXbF-ruxmXtQaGxhSGFT3G2gyXcL1Mnu7XCBsY-FPNyWM4JLn6jfKbEOXBois9u-vq_IOqyc,
1-2199299-5,1,TE Connectivity,1-2199299-5,https://octopart.com/part/te-connectivity/1-2199299-5,"40 Position Dual Wipe Ladder Style DIP IC Socket 0.6"" Wide 0.1"" Pitch",40 pin ic socket,,,Production (Last Updated: 4 days ago),7w,Compliant,1,571-1-2199299-5,Tube,1.08,5207,1,https://octopart.com/opatz8j6/a1?t=xufrGGk7E5I5wTtBD5FWri6IDsoST_8OrBfdHq3BAVXXpojrRDFssvPn9fOXcVm8K5lOZ3caykzVQX3berWxEuWXVylCvTi_4fbxhxCwGHwLokkaKnZUa447JIB_sNWXYXTstmAY26hxzjONkvnP765sHLiFl_YDn6yze5M53WMBsRVFWTfe0mDDW14zi1TMfsOIMNJoNwKJ3fnGcCtKDEWwuUE2mpR_nWJ7yX7kA-mVWWwZXO6cbGXQ-mTjsg0Xu2MQDL4D_4UbcQIYwcwhIXrQ9u4,Mouser,571-1-2199299-5,Tube,1.08,1.08,1.08,5207,1,https://octopart.com/opatz8j6/a1?t=xufrGGk7E5I5wTtBD5FWri6IDsoST_8OrBfdHq3BAVXXpojrRDFssvPn9fOXcVm8K5lOZ3caykzVQX3berWxEuWXVylCvTi_4fbxhxCwGHwLokkaKnZUa447JIB_sNWXYXTstmAY26hxzjONkvnP765sHLiFl_YDn6yze5M53WMBsRVFWTfe0mDDW14zi1TMfsOIMNJoNwKJ3fnGcCtKDEWwuUE2mpR_nWJ7yX7kA-mVWWwZXO6cbGXQ-mTjsg0Xu2MQDL4D_4UbcQIYwcwhIXrQ9u4,
512-1N4148TR,69,onsemi,1N4148TR,https://octopart.com/part/onsemi/1N4148TR,"Rectifier Diode, 1 Phase, 1 Element, 0.2A, 100V V(RRM), Silicon, DO-35",1n4148 diode,,,Production (Last Updated: 5 years ago),8w,Compliant,69,512-1N4148TR,Tape & Reel,0.041,1044271,1,https://octopart.com/opatz8j6/a1?t=ILVHRaGIwXgqoqfIP5cb-eLsSIhQ4GZv9-9CjfyRbSSIk0G4xVGNpTW1MCrXdEI628NjOVUtzR5mm5Errdes9ZuV8C5JB8aL2GaKhnEtyACtz9AJK72Hd4JlCOTtkr20wA8iFKQwDs-9isJso89dPZJwHEYhkTfd5Ho3y61CkSgK6wVK825pkmDeWAXIbM1txWpsj99066KZxiEbd9TNZqXYcY9SwHA7pEPYHJbyCHmuM7qzfsTZewQl5lk9PSOvxqh5vlne7vSKe7LfajmCfooWTco,Mouser,512-1N4148TR,Tape & Reel,0.041,2.829,2.829,1044271,1,https://octopart.com/opatz8j6/a1?t=ILVHRaGIwXgqoqfIP5cb-eLsSIhQ4GZv9-9CjfyRbSSIk0G4xVGNpTW1MCrXdEI628NjOVUtzR5mm5Errdes9ZuV8C5JB8aL2GaKhnEtyACtz9AJK72Hd4JlCOTtkr20wA8iFKQwDs-9isJso89dPZJwHEYhkTfd5Ho3y61CkSgK6wVK825pkmDeWAXIbM1txWpsj99066KZxiEbd9TNZqXYcY9SwHA7pEPYHJbyCHmuM7qzfsTZewQl5lk9PSOvxqh5vlne7vSKe7LfajmCfooWTco,
TZX3V6A-TR,2,Vishay,TZX3V6A-TR,https://octopart.com/part/vishay/TZX3V6A-TR,"Zener Diode, 3.6V V(Z), 2.86%, 0.5W, Silicon, Unidirectional, DO-35",zener diode (3.6v),,,Production (Last Updated: 5 months ago),15w,Compliant,2,78-TZX3V6A,Tape & Reel,0.1,49161,1,https://octopart.com/opatz8j6/a1?t=WAex6R58o5J-QCcf3iSv37Dt-qg6J4ll_MQSap4MlQCCTD7hJNxqkuRMjD-C73cFToF4xgTa07PvHKPG1KBqQbm5t2wQpiIPYZLJ57ca7rCcsnkgTxzW7lYWlUcK-_LMPliS5NUt11Li6UaWP6vO_1dDMqlCzijVNxfppitQv8q2eaDeKsFQ0fWtvgY3TQ1tZzXlA5pmOyYXe7lzKeCuv5-F3LrERAgKMXGJU5QK6jPJHXhyPxkL7fv4z_YGfT0lURzFGuaTuQ8yCFT7MJJTeOni6q0,Mouser,78-TZX3V6A,Tape & Reel,0.1,0.2,0.2,49161,1,https://octopart.com/opatz8j6/a1?t=WAex6R58o5J-QCcf3iSv37Dt-qg6J4ll_MQSap4MlQCCTD7hJNxqkuRMjD-C73cFToF4xgTa07PvHKPG1KBqQbm5t2wQpiIPYZLJ57ca7rCcsnkgTxzW7lYWlUcK-_LMPliS5NUt11Li6UaWP6vO_1dDMqlCzijVNxfppitQv8q2eaDeKsFQ0fWtvgY3TQ1tZzXlA5pmOyYXe7lzKeCuv5-F3LrERAgKMXGJU5QK6jPJHXhyPxkL7fv4z_YGfT0lURzFGuaTuQ8yCFT7MJJTeOni6q0,
MF-R050,1,Bourns,MF-R050,https://octopart.com/part/bourns/MF-R050,PTC Resettable Fuse 0.5A(hold) 1A(trip) 60V 40A 0.75W 4s 0.41Ohm Radial 7.9 X 3.1mm Bulk Automotive,500mA fuse,,,Production (Last Updated: 2 months ago),8w,Compliant,1,652-MFR050,Bulk,0.35,15952,1,https://octopart.com/opatz8j6/a1?t=tIpWWO_ULKNrBXYHzNGOdPTrwReC0WyK8N5fnXw7mBUDIbpodiNSx4W-t4p1PpEtKZVXkNl-jlv1tiNS-bRwhtmCGJo2QOyBAZ6gIDlB2WuKoyXMM2P_FsfJqMT3tpCrLcRZi104EAHmw9eegJa4xOodQB757Nc0CdK3PoE3VAAhg8focj17vqIr-JGgVCgKE_fCk14cG3gxKeiEUyzXwY_xnqPT7BNn8YTsGODEEevglhaPn6dP_EpfJU9Q4ficWOaZ-ZwR_RyUjLzFI-S-Xaw,Mouser,652-MFR050,Bulk,0.35,0.35,0.35,15952,1,https://octopart.com/opatz8j6/a1?t=tIpWWO_ULKNrBXYHzNGOdPTrwReC0WyK8N5fnXw7mBUDIbpodiNSx4W-t4p1PpEtKZVXkNl-jlv1tiNS-bRwhtmCGJo2QOyBAZ6gIDlB2WuKoyXMM2P_FsfJqMT3tpCrLcRZi104EAHmw9eegJa4xOodQB757Nc0CdK3PoE3VAAhg8focj17vqIr-JGgVCgKE_fCk14cG3gxKeiEUyzXwY_xnqPT7BNn8YTsGODEEevglhaPn6dP_EpfJU9Q4ficWOaZ-ZwR_RyUjLzFI-S-Xaw,
603-CFR-12JR-52-75R,2,Yageo Group,CFR-12JR-52-75R,https://octopart.com/part/yageo-group/CFR-12JR-52-75R,General Type Carbon Film Resistor 75Ohm 1/6W 5% Axial T/R,75 ohm resistor (1/6w),,,Production (Last Updated: 6 months ago),16w,Compliant,2,603-CFR-12JR-52-75R,Tape & Reel,0.1,10156,1,https://octopart.com/opatz8j6/a1?t=I4Z-3YDMpqIrsA3_SGqCDjYhvoXFhWCUj2m9CVCoicsekp1bePBqs2LiFZanJjLM1MAhQJbdGBC6ZBCm4O9bqoLk0HWKhCQTFLFBJWjZ06XYilqXvUH06tFMgAE4MbXX5PjVbVRW6XTUm-Z6GQ17maEJI96hWy1UV2gxJtuDpTvtqti9v7pHauPpLKJ6XugNU0aTnJxODe-TS4Gt3z0476on5mNi6o_t1W-jwNWpa6sHsB35UqWJPGYu5J_CxAQRKcwG5kjqZR5Gd5Dhl4xBU5Wjo9M,Mouser,603-CFR-12JR-52-75R,Tape & Reel,0.1,0.2,0.2,10156,1,https://octopart.com/opatz8j6/a1?t=I4Z-3YDMpqIrsA3_SGqCDjYhvoXFhWCUj2m9CVCoicsekp1bePBqs2LiFZanJjLM1MAhQJbdGBC6ZBCm4O9bqoLk0HWKhCQTFLFBJWjZ06XYilqXvUH06tFMgAE4MbXX5PjVbVRW6XTUm-Z6GQ17maEJI96hWy1UV2gxJtuDpTvtqti9v7pHauPpLKJ6XugNU0aTnJxODe-TS4Gt3z0476on5mNi6o_t1W-jwNWpa6sHsB35UqWJPGYu5J_CxAQRKcwG5kjqZR5Gd5Dhl4xBU5Wjo9M,
MFR-12FTF52-1K5,2,Yageo Group,MFR-12FTF52-1K5,https://octopart.com/part/yageo-group/MFR-12FTF52-1K5,"Fixed Resistor, Metal Film, 0.1666W, 1500ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",1.5k resistor (1/6w),,,Production (Last Updated: 10 months ago),19w,Compliant,2,603-MFR-12FTF52-1K5,Ammo Pack,0.1,9453,1,https://octopart.com/opatz8j6/a1?t=anwV9zr5foeadACFSzK2RpByO36_W6B9IQx5pP8Wsw6ow3Ode4zpnLBQv9tTU0yYap9HrLeP2DmLZXvjJKnqrLqopEKZmakGUFm5Ra8vSsn6GcQIBGAiMmSUoiDOZe2qA1cNd8nK6DvOVLRHn7kf_Ha2ZGcpjNaZ4GUbOmG6NyeEunaXNoH29JHo0vIddYblwVHVqcoH-mL9E-XLfpEvi7D73haM6arwHO_AQiqd8H_aS4GXu_0TXjuiDwpF9-X8iVGXiwtiFKORZGnFNC9gvVvdt_k,Mouser,603-MFR-12FTF52-1K5,Ammo Pack,0.1,0.2,0.2,9453,1,https://octopart.com/opatz8j6/a1?t=anwV9zr5foeadACFSzK2RpByO36_W6B9IQx5pP8Wsw6ow3Ode4zpnLBQv9tTU0yYap9HrLeP2DmLZXvjJKnqrLqopEKZmakGUFm5Ra8vSsn6GcQIBGAiMmSUoiDOZe2qA1cNd8nK6DvOVLRHn7kf_Ha2ZGcpjNaZ4GUbOmG6NyeEunaXNoH29JHo0vIddYblwVHVqcoH-mL9E-XLfpEvi7D73haM6arwHO_AQiqd8H_aS4GXu_0TXjuiDwpF9-X8iVGXiwtiFKORZGnFNC9gvVvdt_k,
MFR-12FTF52-5K1,2,Yageo Group,MFR-12FTF52-5K1,https://octopart.com/part/yageo-group/MFR-12FTF52-5K1,"Fixed Resistor, Metal Film, 0.1667W, 5100ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",5.1k resistor (1/6w),,,Production (Last Updated: 4 months ago),16w,Compliant,2,603-MFR-12FTF52-5K1,Ammo Pack,0.1,13538,1,https://octopart.com/opatz8j6/a1?t=AasMkIdvg7_tR8T6VijhOrruqt5CmPt3hkKPBK2S04-WuuHWCYsOdgISipNzExgN25Seo0hM9efvthR5DO3USqKQ6mqmx6R2c7C_Ja1XhCuhZ8x4SEFwO9IM9bet8Bv39bCrK4AfntQUz3KNZcchzB4-UGuGDdN9tgUs-bQXVIiM3r8ACdYSaG5aDtYXfh-75RFyUeOWkmok766RrgRbDDP4k00ysm5TtIB2KB9puGxE7NBAh2LKLaUv-j8Y9rOuzznobMKWWqgC6V4cac4TX3dd4jQ,Mouser,603-MFR-12FTF52-5K1,Ammo Pack,0.1,0.2,0.2,13538,1,https://octopart.com/opatz8j6/a1?t=AasMkIdvg7_tR8T6VijhOrruqt5CmPt3hkKPBK2S04-WuuHWCYsOdgISipNzExgN25Seo0hM9efvthR5DO3USqKQ6mqmx6R2c7C_Ja1XhCuhZ8x4SEFwO9IM9bet8Bv39bCrK4AfntQUz3KNZcchzB4-UGuGDdN9tgUs-bQXVIiM3r8ACdYSaG5aDtYXfh-75RFyUeOWkmok766RrgRbDDP4k00ysm5TtIB2KB9puGxE7NBAh2LKLaUv-j8Y9rOuzznobMKWWqgC6V4cac4TX3dd4jQ,
MFR-12FTF52-10K,1,Yageo Group,MFR-12FTF52-10K,https://octopart.com/part/yageo-group/MFR-12FTF52-10K,"Fixed Resistor, Metal Film, 0.1666W, 10000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",10k resistor (1/6w),,,Production (Last Updated: 6 months ago),19w,Compliant,1,603-MFR-12FTF52-10K,Ammo Pack,0.1,991,1,https://octopart.com/opatz8j6/a1?t=6wGnJ5TU5n7nkbFjBkG3WxgfA9VwtbsAtZjKvKozeWvMS1Uf70OgzvH2rtaQam7cCPihaZjIjJV6WsxM4HK-alrXCLBCV3ViRAmHOAlNkgtFAP6WNkc9nKHzeduIsJXb6QzmwdKrrAwQr5BzdxAb6l14IsZfl_bR5d4l4IPlR5OxOEa7lxQqo--W_DqaJSrJusCmcV2MuYGC5cTe2zEYL0mBX514Sz8BczbpI_4fpkEAuOPjybMY88XXNW3QFIbEkEVAfeqaSVaDZ0pQJQ-jB8zBdTY,Mouser,603-MFR-12FTF52-10K,Ammo Pack,0.1,0.1,0.1,991,1,https://octopart.com/opatz8j6/a1?t=6wGnJ5TU5n7nkbFjBkG3WxgfA9VwtbsAtZjKvKozeWvMS1Uf70OgzvH2rtaQam7cCPihaZjIjJV6WsxM4HK-alrXCLBCV3ViRAmHOAlNkgtFAP6WNkc9nKHzeduIsJXb6QzmwdKrrAwQr5BzdxAb6l14IsZfl_bR5d4l4IPlR5OxOEa7lxQqo--W_DqaJSrJusCmcV2MuYGC5cTe2zEYL0mBX514Sz8BczbpI_4fpkEAuOPjybMY88XXNW3QFIbEkEVAfeqaSVaDZ0pQJQ-jB8zBdTY,
