Quantity,Total Qty,Manufacturer Part Number,Manufacturer,Factory Lead Time,Order List,Supplier Name,Supplier Part Number,Order List (Supplier Link),Stock,"Unit Price, $","Δ Median Price, $",Surplus,Total Quantity,Total Price,Packaging,MOQ,MPQ
1,1,ATMEGA328P-PU,Microchip,42,Newark 68T2944,Newark,68T2944,https://octopart.com/opatz8j6/a1?t=YiwOLYlz4jHe4-ap9soDV_m59S9vCPi6hiIjWbgh939jmxX0ZqT4UrKYx9A9A1wrBa7CGgp1KRTu5dUNXO2lkf0VZCC_cC-2Q9u2rNy6RtfURTSFOqMCdj3tkPAh6wA6ur6PVDUfhW2_ZTKoftCkE9cHgymqb03dHUizEftAlIwVOZDc8BbFwXG7_s-M3U3IgNh5oDOCo81ZblpA_-6M4ONA1fCHefXaPVBmkD-5EM0xjnOx_h7qwLc6mXh-paOxgOYPeNTeJojNXwTIuP38_6fJSc7T,2065,2.77,-0.38,0,1,2.77,,1,1
1,1,ADM1181AAN,Analog Devices,,,,,,,,,,,,,,
2,2,TZX3V6A-TR,Vishay,70,Mouser 78-TZX3V6A,Mouser,78-TZX3V6A,https://octopart.com/opatz8j6/a1?t=rPHU8MEr7OsR06swzDzxv6XqOXC3Yur7kjxLKjzSRSjzTDd3H_J3cJZc3aO4Bfyblre4J3A0zXmxpUZGP5cc3l3R9yo1PIfGLabMZswe6eV2mo2dKGUj-Mk7OrX4qCtEtIiuWHYicy0P8iRCUvqM4W8R46fsr4tn-iooEc9gpYnQmL_g-OeykL9-n4wk5pBH65Py4Fb0HJ9pNH-XWpRIrD4R1sDpul9AAL1L88dfjttNFgpjhKCwoswX3nbOPCPhmYAU4sHqlinZjNmr-yUcsE5Uqaql,49242,0.1,-0.075,0,2,0.2,Tape & Reel,1,
63,63,1N4148TR,onsemi,56,Mouser 512-1N4148TR,Mouser,512-1N4148TR,https://octopart.com/opatz8j6/a1?t=pOgUKmEHMeJmTyHJ0y688yaD5LMI1m_TkjZQWrc0pBGnUnsKaqda-bjoaPOAQpI88jBeSFzBGBiDp_ooiU9zbg4xviz3eI_OT_bQ3StMhq9cc42KgbCrrjuI4B6THR6Q9J8f3AWBjkJAgcE7mUssw3klaRQI-_rMXTP76tkVY8AupsQJayXyntbmi3s-Hs63M_Oh7FDfkqhcDPgAwPSSe1CTjzzCfp5M0BRu1ZzkHJpw7lx6P-YmYD9VZoj2mRmHK-zT1zhHC0DEEalkSRqZJhdJAF2Y,352795,0.041,-0.02834,0,63,2.58,Tape & Reel,1,
1,1,1734753-1,TE Connectivity,63,Avnet 1734753-1,Avnet,1734753-1,https://octopart.com/opatz8j6/a1?t=MMpL0aQFioObbX0IPkEM4qCidMo1237iu9YpV1XQdaf98n81auYXtmXZTGNxJFwEN3akC310ypVGBw_xS1-2KFeYt8Jh2x1K8ftZkE7oMaOCXoGCK5QtRF6jfAz0Sa0WFdkyGvTZIQe5idRZ2AL8a0JKWwC3VjsS6mocu-Y_YUXopo6FpCHyn45lQz5ht5mHNGMIB8GXbOV0x2xdwW2LF95YjdY-_pBSr6-2VWqHi0-il4-WHLqeEekyac6L75YNFkneVf3L88hE911JbdcwVpl7P2aQ,46649,0.98624,-0.08609,0,1,0.98624,,1,1
1,1,LTL-4222,Lite-On,84,Mouser 859-LTL-4222,Mouser,859-LTL-4222,https://octopart.com/opatz8j6/a1?t=sFP0ZgUxXEvZgxgBnObaKYxv15w2sRuoBbIos7XFSO4qqwieog1gdxal-_fVT2pwc_Wn82GbP_ePuE3EF14zwmogUTCsIhBAJNUYwSNiD7o3fTPlOcZNZJJyHLQTMrQ5CSF90qj4S3K-icc9ux5g5ieSuKQn-mh4a0VMrLbzvcJKSkc0oIhVrPqcnhCdKlWyrJWkuvecsdMXLIWkXlgauM3Y-fZvwI_Ovaq7gPQdEIYzOxHbQzpw43qvCseCjAwMhNDlQHhnr_9EXZwXoTLrJTvq8Q,7125,0.19,-0.12569,0,1,0.19,Bulk,1,
1,1,551-0607-004F,Dialight,70,Newark 87M3201,Newark,87M3201,https://octopart.com/opatz8j6/a1?t=67TwkH_GWrvkyTvguZxaDKaaZljDqqln3WsgPicqc3LZwdzCfVXZcZmQFAUNl67Oij53Ny3pN-sSbNyCZnFj7dLXkKREoszvRfXzMuIGAy5CQu3zTvbl-c1HbsBYH1noE3PL5vzi1lSjPeIjRtRvtDH8pD3lqjPXq4KS2YZL7DqvIp5ref9QopkkmcqKEaxc3H-piMNqzCP2mzD7Lk_IqvoDPnBYASULHqS4HlBR8ywAgDvSZU2_XqSNy-AiwH3LYBxuOkaynp748B1XxXOdDsn5qw,345,2.78,-0.355,294,295,820.10,,295,1
1,1,1623730-6,TE Connectivity,182,Newark 26M2869,Newark,26M2869,https://octopart.com/opatz8j6/a1?t=LqQlnoF_-h_g4MAiaoojEEmVRqnl1-DHtDvZLn3JsQ4RMpG_TigAfs6vA4NwIEjcTjWV2OQaA2HcV4n4k9S293_y0z-rzX2MoVCEA5pJgUttDyh42m3L2LEgEQd3sIhHolPPaHkb6UuEBoO1YKtH_UXQyllwetp-GbYaqy4rH-JEV_QG95nWBIY-0iWiH_6s6u5TeZOax5Iiq-nKqlaUUo16rs2_6bkj_nI08SSsH1Py8swTDDeW3aGjLtv0tXFN6amRaRXmRwb2YyJ0xamyvbQPPwpl,749,1.31,-0.8766,0,1,1.31,,1,1
1,1,9-2176400-7,TE Connectivity / AMP,119,Newark 97AC4707,Newark,97AC4707,https://octopart.com/opatz8j6/a1?t=R2v1TG_GIlh5DuYjeY1GywBOjZn2_XSbr_i_sqii3RTI0j3ynRLBHvOolQu3Wwd8Lv3VnSPTMnLy-VojcMrz900pKa9XcuSyJ2tEEIQk8pUP7iVHnLYtSu3hcCDf_JCv_mkZ_9hrUbuD2p7CZlQxhefnOxUYfNJCmz6Ci-pRNSafUd00PAi37GP3lWqv9JrY4vjiB3kb9l6-QzDTL40x_U7OyWSY3s3CjqtE8-g3S8GyX-SaBiBhBNsn05-tvKdAPKy0_DkxJznMNsp3Ce-hz1iIf5EjBA,1129,0.153,0.55630,0,1,0.153,Cut Tape,1,1
2,2,SBCHE41K0J,TE Connectivity,182,element14 APAC 1174339,element14 APAC,1174339,https://octopart.com/opatz8j6/a1?t=N2RvhBVVn83L4zft3TbNOeU2wfOMji77D_c7F-i1VXmI2cOLRptmI17DNgl-IeoWgWeWPnCbEbWTcynTjoHh_rHkHIi8Ok0FMZdP9EKhoYjOCmt9tZDOPfd3JwuTEYubtkzCFK8eWxG9dbyfJdujF-RoUU4SrRF0cn7GDW5yk0EBEpkeRZJQ0ndEQzYWJvRrz6kkZIPwGoiCqRwZWvq9ELjqclNUxdkAi7UWHbryd4bPJpCul8ueJelOVy-PSTxQ4CCZgh38XiIl4h0x56FOpILIUHh3jQ,335,1.06,-0.61518,0,2,2.12,,1,1
