Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,Packaging,"Target Unit Price, $",In Stock,MOQ,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes,Original Part,Original Manufacturer,Matched Part Number,Matched Manufacturer,Part Match,Description,Internal Part Number,Qty,Selected Offers,Selected Distributor,Selected Distributor SKU,Selected Offers (Distributor Link),Stock,"Unit Price, $",Total Quantity,Total Price
ATMEGA328P-PU,1,Microchip,ATMEGA328P-PU,https://octopart.com/atmega328p-pu-microchip-77760288,8-bit Microcontrollers - MCU,,,Production,6w,Compliant,1,556-ATMEGA328P-PU,Tube,2.89,13732,1,https://octopart.com/opatz8j6/a1?t=YiwOLYlz4jHe4-ap9soDV_m59S9vCPi6hiIjWbgh939jmxX0ZqT4UrKYx9A9A1wrBa7CGgp1KRTu5dUNXO2lkf0VZCC_cC-2Q9u2rNy6RtfURTSFOqMCdj3tkPAh6wA6ur6PVDUfhW2_ZTKoftCkE9cHgymqb03dHUizEftAlIwVOZDc8BbFwXG7_s-M3U3IgNh5oDOCo81ZblpA_-6M4ONA1fCHefXaPVBmkD-5EM0xjnOx_h7qwLc6mXh-paOxgOYPeNTeJojNXwTIuP38_6fJSc7T,Mouser,556-ATMEGA328P-PU,Tube,2.89,2.89,2.89,13732,1,https://octopart.com/opatz8j6/a1?t=YiwOLYlz4jHe4-ap9soDV_m59S9vCPi6hiIjWbgh939jmxX0ZqT4UrKYx9A9A1wrBa7CGgp1KRTu5dUNXO2lkf0VZCC_cC-2Q9u2rNy6RtfURTSFOqMCdj3tkPAh6wA6ur6PVDUfhW2_ZTKoftCkE9cHgymqb03dHUizEftAlIwVOZDc8BbFwXG7_s-M3U3IgNh5oDOCo81ZblpA_-6M4ONA1fCHefXaPVBmkD-5EM0xjnOx_h7qwLc6mXh-paOxgOYPeNTeJojNXwTIuP38_6fJSc7T,,ATMEGA328P-PU,Microchip,ATMEGA328P-PU,Microchip,Exact,"Microchip - ATMEGA328P-PU - Microcontroller Mcu, 8 Bit, Atmega, 20MHZ, DIP-28",,1,Newark 68T2944,Newark,68T2944,https://octopart.com/opatz8j6/a1?t=Gc161cC_PQlY5m1KOOpEOnF7E9oPhYBEair-lE5Ab7j0-Yz0ngqEjGQgtD1fVmGrLhQRkaL1pD43lSbO1dFsPJXSE4oF24nOmVX-SfufYk1rDIGNZNOq8vfUivQB_rwXUA-350Kb0XHkc9aBHpcUlTeaHQ6Iq2afH-mRakQfyQ8p4L2dREpsYDlOYnJVoGLUq0xtg3BUNZ8NM5n3uQF8NT3IGK95eBVYjypGqHGbaTFbLUyZ9i_Rpc01lPgaCq3JVOl6gWd-1U0QAvI2OcHpUa87GKa6,2003,2.77,1,2.77
1734753-1,1,TE Connectivity,1734753-1,,,,,,,1,,,,,,,,,,,,,,,,,,1734753-1,TE Connectivity,1734753-1,TE Connectivity,Exact,"USB Connector, Mini USB Type B, USB 2.0, Receptacle, 5 Ways, Through Hole Mount, Vertical",,1,Avnet 1734753-1,Avnet,1734753-1,https://octopart.com/opatz8j6/a1?t=Nz8o7sL5VfpaEdBELyl_aTTr_Q1R4Rs_nKS6FPwMmlXKIiQWQKw9PFWe31RcsgUkF3zGXzkx4MbjOx16_FVYRaOYTIDpthcai0EqQJpvrSnrLSX9LmSXjnvJcQDuqXe0NVzxFUnsQpMoU1iIIWWYBqqadwjKJlWO_-XeX6gs1yTPvtHgX9qxy11vi0oL4LUVSbPPMNz3hdifz_OzHH4Yzk6NB0rcBy1fRC02gMOXlevx9s139cfMPWtNaPa80PZl2hZ-yUHd3n13vUjROxF2CM2tdn_9,50399,0.98624,1,0.98624
LTL-4222,1,Lite-On,LTL-4222,https://octopart.com/ltl-4222-lite-on-869424,LED Red 3mm,,,,12w,Compliant,1,859-LTL-4222,Bulk,0.19,7125,1,https://octopart.com/opatz8j6/a1?t=sFP0ZgUxXEvZgxgBnObaKYxv15w2sRuoBbIos7XFSO4qqwieog1gdxal-_fVT2pwc_Wn82GbP_ePuE3EF14zwmogUTCsIhBAJNUYwSNiD7o3fTPlOcZNZJJyHLQTMrQ5CSF90qj4S3K-icc9ux5g5ieSuKQn-mh4a0VMrLbzvcJKSkc0oIhVrPqcnhCdKlWyrJWkuvecsdMXLIWkXlgauM3Y-fZvwI_Ovaq7gPQdEIYzOxHbQzpw43qvCseCjAwMhNDlQHhnr_9EXZwXoTLrJTvq8Q,Mouser,859-LTL-4222,Bulk,0.19,0.19,0.19,7125,1,https://octopart.com/opatz8j6/a1?t=sFP0ZgUxXEvZgxgBnObaKYxv15w2sRuoBbIos7XFSO4qqwieog1gdxal-_fVT2pwc_Wn82GbP_ePuE3EF14zwmogUTCsIhBAJNUYwSNiD7o3fTPlOcZNZJJyHLQTMrQ5CSF90qj4S3K-icc9ux5g5ieSuKQn-mh4a0VMrLbzvcJKSkc0oIhVrPqcnhCdKlWyrJWkuvecsdMXLIWkXlgauM3Y-fZvwI_Ovaq7gPQdEIYzOxHbQzpw43qvCseCjAwMhNDlQHhnr_9EXZwXoTLrJTvq8Q,,LTL-4222,Lite-On,LTL-4222,Lite-On,Exact,"Single Color LED, High Efficiency Red, Red Transparent, T-1, 3mm",,1,Mouser 859-LTL-4222,Mouser,859-LTL-4222,https://octopart.com/opatz8j6/a1?t=jKpWqv_erCPaSwW7nmfivQVyMqDCbuFYUNuJXq1fQhZZw9pRiCjE3B2fRAxwZF8PobT8S32ZRJPCPiQx6Boa71tegnBG2yWttN6CBSBfpPhvUuiqjsJclTp_6OHrPBVXvWen4-2e1sK1vaeEexcTGhECbe_qC76DibApaYSGfJnKTDxS892uj2FNZ4R9NTZo-Ge03EhGeghvfJgGqLf0X0KPLySG_x6PfVKu7BzGV2_KIuJrdRBAfwzwFRX7gMHQUPxEwoG-YDw96jxLyOeXSYbbuA,7102,0.19,1,0.19
WP7113GT,1,Kingbright,WP7113GT,,,,,,,1,,,,,,,,,,,,,,,,,,WP7113GT,Kingbright,WP7113GT,Kingbright,Exact,Green T-1 3/4 5 mm 20° Tinted 80 mcd 2.2 V Solid State LED Lamp Through Hole,,1,Mouser 604-WP7113GT,Mouser,604-WP7113GT,https://octopart.com/opatz8j6/a1?t=Kyyprseo3jMlVkwUlaSLJtolMET3v1BMMjTb07dwqcJboFWhqh-wj8tErKRSNaFG967KjD54H51ic3_RumzSNQjyoEExkCaldTisEMKytlwOzDyHLefSgmSMtmCGOrGnvYMn-NlxfSlJRIZ3FDYnl2AB09CwFo_XjjbUoONnbwyupDwlNCxd88sVWWwQ7pI6cWeT9xceu1rg1BVC3xYLmaXZgDmuZMoy37azLC0Y9tLaEs2nUrAY4w_tTQ9Dfcz2uTQOxbaURsune1abDRaQpN9xjw,5267,0.3,1,0.3
CFR-25JR-52-1K5,1,Yageo,CFR-25JR-52-1K5,,,,,,,1,,,,,,,,,,,,,,,,,,CFR-25JR-52-1K5,Yageo,CFR-25JR-52-1K5,Yageo,Exact,Res Carbon Film 1.5K Ohm 5% 1/4W -500ppm/°C to 350ppm/°C Conformal AXL Thru-Hole Paper T/R,,1,Newark 49AK5068,Newark,49AK5068,https://octopart.com/opatz8j6/a1?t=ovLymxNa4brHW7eJhecXei4qVMZp0W3mErrXzjvMSgzTSZhN4ZCS67z_a3iDkU7Y9KUQgVNObM0aTP0r8gyplMhKEEsWOk7aCaRFCAfiBPV8548GEB9lSjZRhobbPs2N4Ovh3ALctuFW4Cq1oOtBkU6kWVMA9A9sSGqSEvuJo8Lec2XIgN4Wh7RAsQ6GjvC0CgBsba09D6lS8MeMx2jmBJJo1LifORDu-GUV7dAs0vMzizmBWrQGava_k-bupTbXGFZhgCFbiZUpt58mhnKasS1TghNE,370,0.01,1,0.01
CFR-25JR-52-10K,1,Yageo,CFR-25JR-52-10K,,,,,,,1,,,,,,,,,,,,,,,,,,CFR-25JR-52-10K,Yageo,CFR-25JR-52-10K,Yageo,Exact,Res Carbon Film 10K Ohm 5% 1/4W -500ppm/°C to 350ppm/°C Conformal AXL Thru-Hole Paper T/R,,1,Mouser 603-CFR-25JR-5210K,Mouser,603-CFR-25JR-5210K,https://octopart.com/opatz8j6/a1?t=PapqsrjFf4Cd11XGPOIXzlY2vRECgKcFxe8xE1Cj2h7asEFF72sn7DwLHjKuNe2qIK9ZLOTLkPeL2fVjVjSUrK7svn7b49RXaScwBXabJiP6PHcTKi-hluVO5kIecacYS43GtFu7L_NaC22dPn6C4GuJhsrMSdTC1AfidLhzPf-G396OEmbWyOZ49q-K1D9rvsTXopzKABoT9JEbzNQ1hPpkjOBvfBFDpks8T5eEqNxo9c8TnrCEoty-qVJznzHEYckzzmDiFfI4fvXVxZ5VwQQHGQ,26874,0.1,1,0.1
CFR-25JR-52-1K,2,Yageo,CFR-25JR-52-1K,,,,,,,2,,,,,,,,,,,,,,,,,,CFR-25JR-52-1K,Yageo,CFR-25JR-52-1K,Yageo,Exact,CFR FIXED RESISTOR Axial Through Hole Resistor ±5% -350/ +500ppm/C 1kOhm 0.25W 1/4W,,2,Mouser 603-CFR-25JR-521K,Mouser,603-CFR-25JR-521K,https://octopart.com/opatz8j6/a1?t=F6gIHUDikzQ2NknxaExZa29a9XU6aLq0kfLE_pmYGRyP3kCQ5HFcVYZsMxy8BI_BLeEB9s50j8U_alfj6zj1Iwd2oCzqAQ2CdAw1D5IQ3fWCrFhJqc-TIEXaY6gazt7DBgWfYG7rvAdZHsgyy59kpmmy0rK_mcuOiqjbfFzWpKim6VmuDS2prI4scH4eBfAe7ZZBIc2d7R_WlIOLScLpDNsdLH7lne5Fzz3PSnoreP7CgbhYJSPTyRUPjcXvubV1TYGdz3xFaqBXyHSfdc30z4ukedg,15993,0.1,2,0.2
CFR-25JR-52-68R,2,Yageo,CFR-25JR-52-68R,,,,,,,2,,,,,,,,,,,,,,,,,,CFR-25JR-52-68R,Yageo,CFR-25JR-52-68R,Yageo,Exact,"Fixed Resistor, Carbon Film, 0.25W, 68ohm, 250V, 5% +/-Tol, -500, 350ppm/Cel, Through Hole Mount",,2,Mouser 603-CFR-25JR-52-68R,Mouser,603-CFR-25JR-52-68R,https://octopart.com/opatz8j6/a1?t=_g-Q5XbTzSRFEHmYFcWh5cSR6A0yE453XP4LDcGFgXdQ-M6LqAxU_dwzLBqalR0k8M1fVA3c0txqFFrJCZCzlKSDh5FJVPDs_88keVg9CUI1ql0eyWVHUUQ8LHphJGEtFT80SUhjwuF65RhVE-S-UILgALevT4QzsFhmOn2CQTZhSoZH00sxHNF7UVto1I0LSf4h9cUaZKayuob44Ay22ao0_9eeKreH870yMaltUCWUbCkJOSqYwN3gurNAcl8FL1PNiis0q21faXUvy3aiIMJRvV03,5226,0.1,2,0.2
RXEF010S,1,Littelfuse,RXEF010S,,,,,,,1,,,,,,,,,,,,,,,,,,RXEF010S,Littelfuse,RXEF010S,Littelfuse,Exact,PTC Resettable Fuse 0.1A(hold) 0.2A(trip) 60V 40A 0.38W 4s 2.5Ohm Radial 8.9 X 3 X 11.2mm Loose,,1,Mouser 650-RXEF010S,Mouser,650-RXEF010S,https://octopart.com/opatz8j6/a1?t=U-EjiUxM57wLCAiH_Eqrc8df8VHPjMzS3TNkUJVK3nNZLI3f2WkUsNEer1fag-3XqVxDDJffLgcCTte4c33MCYKoqTDwEmOmapcwpKT24X4aQ0_z5wJyuDj_EGAHECqqGrRNczOE9-jg3uohQxyWUjvM27kngk0To3ElLZk6HcPOnYp-zS_0xztGeQA5enTwWxQxQ3N04q_LelizhCD6Vv1-FOrzLUwyJ_UxPZl_wiicrTQkMW8YeviJCfX5JI92V0_5fNMS_Z4srtZgRAtq0p0Una1B,155,0.34,1,0.34
J49SMH-A-G-G-K-12M0,1,Jauch,J49SMH-A-G-G-K-12M0,,,,,,,1,,,,,,,,,,,,,,,,,,J49SMH-A-G-G-K-12M0,Jauch,J49SMH-A-G-G-K-12M0,Jauch,Exact,Crystal 12MHz ±30ppm (Tol) ±30ppm (Stability) 12pF FUND 35Ohm 2-Pin SMD T/R,,1,DigiKey 1908-J49SMH-A-G-G-K-12M0CT-ND,DigiKey,1908-J49SMH-A-G-G-K-12M0CT-ND,https://octopart.com/opatz8j6/a1?t=kqhz-FE1h_xz9MucNAuo4Kri_-AawyzSSNXHndv5N5rszqSdZ6PExKvm2MIZzRnwliaEGDJSGnD1FrY_d5GE1EAZMTc9sL-xzMwlkCVENQsX_IZG5o-GhPy6r6mcTCkovVNs2-CM-3MXVX1d3OZp3EKF5WEgyPUatzfBjIvwpmJljfAByJ172IPzwL2HNJPd_BnCTZKgh0-RoLH7gS-bR5t3s_FJzhqclUYpM_vFv_jc5dFKtCbjs6C3H2UD5i7Pd87KBdq_X_7nXKBbfX-hxfAiHXm4,3270,0.21,1,0.21
