Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,Packaging,Unit Price (@ Batch Size: 1),In Stock,MOQ,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Mouser,Mouser,Mouser,Mouser,Mouser,Mouser,,,,,,,,,,
ATMEGA328P-PU,1,Microchip,ATMEGA328P-PU,https://octopart.com/atmega328p-pu-microchip-77760288,8-bit Microcontrollers - MCU,atmega328p-pu,,,Production,6w,Compliant,1,556-ATMEGA328P-PU,Tube,2.89,13732,1,https://octopart.com/opatz8j6/a1?t=YiwOLYlz4jHe4-ap9soDV_m59S9vCPi6hiIjWbgh939jmxX0ZqT4UrKYx9A9A1wrBa7CGgp1KRTu5dUNXO2lkf0VZCC_cC-2Q9u2rNy6RtfURTSFOqMCdj3tkPAh6wA6ur6PVDUfhW2_ZTKoftCkE9cHgymqb03dHUizEftAlIwVOZDc8BbFwXG7_s-M3U3IgNh5oDOCo81ZblpA_-6M4ONA1fCHefXaPVBmkD-5EM0xjnOx_h7qwLc6mXh-paOxgOYPeNTeJojNXwTIuP38_6fJSc7T,Mouser,556-ATMEGA328P-PU,Tube,2.89,2.89,2.89,13732,1,https://octopart.com/opatz8j6/a1?t=YiwOLYlz4jHe4-ap9soDV_m59S9vCPi6hiIjWbgh939jmxX0ZqT4UrKYx9A9A1wrBa7CGgp1KRTu5dUNXO2lkf0VZCC_cC-2Q9u2rNy6RtfURTSFOqMCdj3tkPAh6wA6ur6PVDUfhW2_ZTKoftCkE9cHgymqb03dHUizEftAlIwVOZDc8BbFwXG7_s-M3U3IgNh5oDOCo81ZblpA_-6M4ONA1fCHefXaPVBmkD-5EM0xjnOx_h7qwLc6mXh-paOxgOYPeNTeJojNXwTIuP38_6fJSc7T,
1734753-1,1,TE Connectivity,1734753-1,,,mini usb type b through hole,,,,,1,,,,,,,,,,,,,,,,
LTL-4222,1,Lite-On,LTL-4222,https://octopart.com/ltl-4222-lite-on-869424,LED Red 3mm,3mm led red,,,,12w,Compliant,1,859-LTL-4222,Bulk,0.19,7125,1,https://octopart.com/opatz8j6/a1?t=sFP0ZgUxXEvZgxgBnObaKYxv15w2sRuoBbIos7XFSO4qqwieog1gdxal-_fVT2pwc_Wn82GbP_ePuE3EF14zwmogUTCsIhBAJNUYwSNiD7o3fTPlOcZNZJJyHLQTMrQ5CSF90qj4S3K-icc9ux5g5ieSuKQn-mh4a0VMrLbzvcJKSkc0oIhVrPqcnhCdKlWyrJWkuvecsdMXLIWkXlgauM3Y-fZvwI_Ovaq7gPQdEIYzOxHbQzpw43qvCseCjAwMhNDlQHhnr_9EXZwXoTLrJTvq8Q,Mouser,859-LTL-4222,Bulk,0.19,0.19,0.19,7125,1,https://octopart.com/opatz8j6/a1?t=sFP0ZgUxXEvZgxgBnObaKYxv15w2sRuoBbIos7XFSO4qqwieog1gdxal-_fVT2pwc_Wn82GbP_ePuE3EF14zwmogUTCsIhBAJNUYwSNiD7o3fTPlOcZNZJJyHLQTMrQ5CSF90qj4S3K-icc9ux5g5ieSuKQn-mh4a0VMrLbzvcJKSkc0oIhVrPqcnhCdKlWyrJWkuvecsdMXLIWkXlgauM3Y-fZvwI_Ovaq7gPQdEIYzOxHbQzpw43qvCseCjAwMhNDlQHhnr_9EXZwXoTLrJTvq8Q,
WP7113GT,1,Kingbright,WP7113GT,,,3mm led green through hole,,,,,1,,,,,,,,,,,,,,,,
CFR-25JR-52-1K5,1,Yageo,CFR-25JR-52-1K5,,,1.5k ohm 1/4w carbon film,,,,,1,,,,,,,,,,,,,,,,
CFR-25JR-52-10K,1,Yageo,CFR-25JR-52-10K,,,10k ohm 1/4w carbon film,,,,,1,,,,,,,,,,,,,,,,
CFR-25JR-52-1K,2,Yageo,CFR-25JR-52-1K,,,1k ohm 1/4w carbon film,,,,,2,,,,,,,,,,,,,,,,
CFR-25JR-52-68R,2,Yageo,CFR-25JR-52-68R,,,68 ohm 1/4w carbon film,,,,,2,,,,,,,,,,,,,,,,
RXEF010S,1,Littelfuse,RXEF010S,,,100mA polyfuse 60v radial,,,,,1,,,,,,,,,,,,,,,,
1-2199299-3,1,TE Connectivity,1-2199299-3,,,28 pin dip socket narrow,,,,,1,,,,,,,,,,,,,,,,
J49SMH-A-G-G-K-12M0,1,Jauch,J49SMH-A-G-G-K-12M0,,,12mhz crystal hc-49s,,,,,1,,,,,,,,,,,,,,,,
TZX3V6A-TR,2,Vishay,TZX3V6A-TR,https://octopart.com/tzx3v6a-tr-vishay-41954837,Zener Diode 3.6V,zener diode (3.6v),,,,10w,Compliant,2,78-TZX3V6A,Tape & Reel,0.1,49242,1,https://octopart.com/opatz8j6/a1?t=rPHU8MEr7OsR06swzDzxv6XqOXC3Yur7kjxLKjzSRSjzTDd3H_J3cJZc3aO4Bfyblre4J3A0zXmxpUZGP5cc3l3R9yo1PIfGLabMZswe6eV2mo2dKGUj-Mk7OrX4qCtEtIiuWHYicy0P8iRCUvqM4W8R46fsr4tn-iooEc9gpYnQmL_g-OeykL9-n4wk5pBH65Py4Fb0HJ9pNH-XWpRIrD4R1sDpul9AAL1L88dfjttNFgpjhKCwoswX3nbOPCPhmYAU4sHqlinZjNmr-yUcsE5Uqaql,Mouser,78-TZX3V6A,Tape & Reel,0.1,0.2,0.2,49242,1,https://octopart.com/opatz8j6/a1?t=rPHU8MEr7OsR06swzDzxv6XqOXC3Yur7kjxLKjzSRSjzTDd3H_J3cJZc3aO4Bfyblre4J3A0zXmxpUZGP5cc3l3R9yo1PIfGLabMZswe6eV2mo2dKGUj-Mk7OrX4qCtEtIiuWHYicy0P8iRCUvqM4W8R46fsr4tn-iooEc9gpYnQmL_g-OeykL9-n4wk5pBH65Py4Fb0HJ9pNH-XWpRIrD4R1sDpul9AAL1L88dfjttNFgpjhKCwoswX3nbOPCPhmYAU4sHqlinZjNmr-yUcsE5Uqaql,
