Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,Packaging,Unit Price (@ Batch Size: 1),In Stock,MOQ,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Mouser,Mouser,Mouser,Mouser,Mouser,Mouser,,,,,,,,,,
ATMEGA328P-PU,1,Microchip,ATMEGA328P-PU,https://octopart.com/part/microchip/ATMEGA328P-PU,"Microchip - ATMEGA328P-PU - Microcontroller Mcu, 8 Bit, Atmega, 20MHZ, DIP-28",atmega328p-pu,,,Production (Last Updated: 21 hours ago),7w,Compliant,1,556-ATMEGA328P-PU,Tube,2.89,5463,1,https://octopart.com/opatz8j6/a1?t=eL_en1hLisRDgHE9Cl1dodd0wD9y5Dr8_DW41GU_dkC5Sm8JG5ltn1brTbfo3P1raGRWaKM_CiDazIgwnsMCSugpNP0N0CTZCWr1W7QByAtiyA_Wp48mISftyMBWacbi1_OGoqcWkm0xbH7OCpBbTmrMjMaWbkwzDTz31VFxrwzD3RnRX-yijiySGXS1XIueUkkC15Aquqngq05ZCr92l_Mgx8nTaimGpgLUTmheJxwshh3bCUGTOq3JtmRwvc3DLYkY1blL8CIsTWZ-Azd4zRQ4SOE,Mouser,556-ATMEGA328P-PU,Tube,2.89,2.89,2.89,5463,1,https://octopart.com/opatz8j6/a1?t=eL_en1hLisRDgHE9Cl1dodd0wD9y5Dr8_DW41GU_dkC5Sm8JG5ltn1brTbfo3P1raGRWaKM_CiDazIgwnsMCSugpNP0N0CTZCWr1W7QByAtiyA_Wp48mISftyMBWacbi1_OGoqcWkm0xbH7OCpBbTmrMjMaWbkwzDTz31VFxrwzD3RnRX-yijiySGXS1XIueUkkC15Aquqngq05ZCr92l_Mgx8nTaimGpgLUTmheJxwshh3bCUGTOq3JtmRwvc3DLYkY1blL8CIsTWZ-Azd4zRQ4SOE,
1-2199298-9,1,TE Connectivity,1-2199298-9,https://octopart.com/part/te-connectivity/1-2199298-9,Connector DIP Socket Socket 28 Position 2.54mm Solder Straight Through Hole Dual Wipe,28 pin ic socket,,,Production (Last Updated: 1 week ago),9w,Compliant,1,571-1-2199298-9,Tube,0.65,7400,1,https://octopart.com/opatz8j6/a1?t=PZHPrdWgaBVjGEjGHFtZmLcEdoKnFrv28AUEPz_Qfl5320t-h5KD6nUef1KQqe8bp74CRkLLnfnhSzHLLo73Iue9kd5c322_NtGJnWc04a9ggEDQTzbPcVBJuo1Lxv377VT0ey2V8hLNOMypcNCEk-Xnvmy7VoB_gTga_JdmCZ_X5vPHKiMGUYb9UuuiIUIuyZPBLIpoN9SfinTrvuZ9Eno3D_AvFG6EPOENyGoGjUpsS8QD_vpHT4KHujO5xSgp_4FFqGN60dPwN1Td7dxo-vVcMYU,Mouser,571-1-2199298-9,Tube,0.65,0.65,0.65,7400,1,https://octopart.com/opatz8j6/a1?t=PZHPrdWgaBVjGEjGHFtZmLcEdoKnFrv28AUEPz_Qfl5320t-h5KD6nUef1KQqe8bp74CRkLLnfnhSzHLLo73Iue9kd5c322_NtGJnWc04a9ggEDQTzbPcVBJuo1Lxv377VT0ey2V8hLNOMypcNCEk-Xnvmy7VoB_gTga_JdmCZ_X5vPHKiMGUYb9UuuiIUIuyZPBLIpoN9SfinTrvuZ9Eno3D_AvFG6EPOENyGoGjUpsS8QD_vpHT4KHujO5xSgp_4FFqGN60dPwN1Td7dxo-vVcMYU,
512-1N4148TR,44,onsemi,1N4148TR,https://octopart.com/part/onsemi/1N4148TR,"Rectifier Diode, 1 Phase, 1 Element, 0.2A, 100V V(RRM), Silicon, DO-35",1n4148 diode,,,Production (Last Updated: 5 years ago),9w,Compliant,44,512-1N4148TR,Tape & Reel,0.041,1501391,1,https://octopart.com/opatz8j6/a1?t=mVYsEGlwK4VP1Zlf_jwvbkeioWNAtBxun8PbWCeWqpLBOTQV36OOYTHd5a9gM7bRp31p-qs1xJje2zP5dDS8-mZhwq3emN1ugZlLIAmhIzG67OQfUy52AyMXMe-OduaIZ1FpuPRVlXVh0c4nG_Cpn_C_tAyjxtT-Ly1EtwSaEr0kJkKM_Exrq6GPRPzWZhLN8BNBNgF5UL1mvrmBh4cQjGgCls8jmcXGl5Y6mE2ImVzHnVXU92Gsj20284RoFUI8A-7QyNQaRV-QadD0LVS_xLZmqcQ,Mouser,512-1N4148TR,Tape & Reel,0.041,1.804,1.804,1501391,1,https://octopart.com/opatz8j6/a1?t=mVYsEGlwK4VP1Zlf_jwvbkeioWNAtBxun8PbWCeWqpLBOTQV36OOYTHd5a9gM7bRp31p-qs1xJje2zP5dDS8-mZhwq3emN1ugZlLIAmhIzG67OQfUy52AyMXMe-OduaIZ1FpuPRVlXVh0c4nG_Cpn_C_tAyjxtT-Ly1EtwSaEr0kJkKM_Exrq6GPRPzWZhLN8BNBNgF5UL1mvrmBh4cQjGgCls8jmcXGl5Y6mE2ImVzHnVXU92Gsj20284RoFUI8A-7QyNQaRV-QadD0LVS_xLZmqcQ,
TZX3V6A-TR,2,Vishay,TZX3V6A-TR,https://octopart.com/part/vishay/TZX3V6A-TR,"Zener Diode, 3.6V V(Z), 2.86%, 0.5W, Silicon, Unidirectional, DO-35",zener diode (3.6v),,,Production (Last Updated: 1 month ago),9w,Compliant,2,78-TZX3V6A,Tape & Reel,0.29,49151,1,https://octopart.com/opatz8j6/a1?t=BSAVD9HE6X1KqZB5wA8riuvi2GLVGSLvnHJDxAEekkA9-Ot2RldkgYayfEZB3y_CTzMfT7YuURAWW5Lsy0GXWZsw0KIBRsx4m5nGXk4uwnNr3ToMGL5d4KFAvpmJLIslp6eitHxhdi1-PAdTZLE165zpKixWuXBszyEOSObDoRwaIJVvnCNPRXGMaDP5-D1IfRdJH7cVd3mvqx1fr9OcU3b2vA-Vz3DxDzTXF4aIuVg76059rH_V187cDVZ3PVE0GX5ApuLUGsPv7pTaPoZD4kCHL-w,Mouser,78-TZX3V6A,Tape & Reel,0.29,0.58,0.58,49151,1,https://octopart.com/opatz8j6/a1?t=BSAVD9HE6X1KqZB5wA8riuvi2GLVGSLvnHJDxAEekkA9-Ot2RldkgYayfEZB3y_CTzMfT7YuURAWW5Lsy0GXWZsw0KIBRsx4m5nGXk4uwnNr3ToMGL5d4KFAvpmJLIslp6eitHxhdi1-PAdTZLE165zpKixWuXBszyEOSObDoRwaIJVvnCNPRXGMaDP5-D1IfRdJH7cVd3mvqx1fr9OcU3b2vA-Vz3DxDzTXF4aIuVg76059rH_V187cDVZ3PVE0GX5ApuLUGsPv7pTaPoZD4kCHL-w,
MF-R050,1,Bourns,MF-R050,https://octopart.com/part/bourns/MF-R050,PTC Resettable Fuse 0.5A(hold) 1A(trip) 60V 40A 0.75W 4s 0.41Ohm Radial 7.9 X 3.1mm Bulk Automotive,500mA fuse,,,Production (Last Updated: 3 months ago),8w,Compliant,1,652-MFR050,Bulk,0.38,12643,1,https://octopart.com/opatz8j6/a1?t=EF_Ipma4VBkAfPxEClii1LeuGCLnJUjCWvyIuQVh88S2YH0OLFvhNPLwwUJ7cQntUtd9Kvt81gfSyZb5TRa1jdC9Yppl4j4XKLFEyZBl0lX2-N85RTL4q9fo3m239Lv-vvqOJqwEtt7nSQ0W8Cm1RyQR3cH8-lv8-tahSP33TNf9nHSUlHLEG0oq2Lo1IhGMyrn4REnJoiu-RKAIQ24IZ0a_S35eAyTkPcoDoAtqgRUD4SbxzRrlLfNTUf2RFiSa9oZDyqPCJ3dFAUV7nKJmx_s,Mouser,652-MFR050,Bulk,0.38,0.38,0.38,12643,1,https://octopart.com/opatz8j6/a1?t=EF_Ipma4VBkAfPxEClii1LeuGCLnJUjCWvyIuQVh88S2YH0OLFvhNPLwwUJ7cQntUtd9Kvt81gfSyZb5TRa1jdC9Yppl4j4XKLFEyZBl0lX2-N85RTL4q9fo3m239Lv-vvqOJqwEtt7nSQ0W8Cm1RyQR3cH8-lv8-tahSP33TNf9nHSUlHLEG0oq2Lo1IhGMyrn4REnJoiu-RKAIQ24IZ0a_S35eAyTkPcoDoAtqgRUD4SbxzRrlLfNTUf2RFiSa9oZDyqPCJ3dFAUV7nKJmx_s,
603-CFR-12JR-52-75R,2,Yageo Group,CFR-12JR-52-75R,https://octopart.com/part/yageo-group/CFR-12JR-52-75R,General Type Carbon Film Resistor 75Ohm 1/6W 5% Axial T/R,75 ohm resistor (1/6w),,,Production (Last Updated: 8 months ago),16w,Compliant,2,603-CFR-12JR-52-75R,Tape & Reel,0.1,10146,1,https://octopart.com/opatz8j6/a1?t=_VLqvzc63acEYDaj5CtluNN1YzvIobCgeDX_0-5kMfe5meRxGld0jBCeKWlCi0_on9nUEHj3ekyjYXJiVQEf-f64w6PSphlnhOMv1a5iN083mOnRiMhfvWmX8OcsO5NbCHMyFhAYCYzZqVCOW7-8ZYKptMCrHq4OydH6-LHZ2KTGNNw5d0G_QSW2LfytBw_iwS5I22kyxYmFgAwUBG6yreVb7S8xwfKNDjUk26E93Wnnj7vpCllZh96PTrA6QoYK0EbuqC04F8eF-aCXUXPEz9v2Tgs,Mouser,603-CFR-12JR-52-75R,Tape & Reel,0.1,0.2,0.2,10146,1,https://octopart.com/opatz8j6/a1?t=_VLqvzc63acEYDaj5CtluNN1YzvIobCgeDX_0-5kMfe5meRxGld0jBCeKWlCi0_on9nUEHj3ekyjYXJiVQEf-f64w6PSphlnhOMv1a5iN083mOnRiMhfvWmX8OcsO5NbCHMyFhAYCYzZqVCOW7-8ZYKptMCrHq4OydH6-LHZ2KTGNNw5d0G_QSW2LfytBw_iwS5I22kyxYmFgAwUBG6yreVb7S8xwfKNDjUk26E93Wnnj7vpCllZh96PTrA6QoYK0EbuqC04F8eF-aCXUXPEz9v2Tgs,
MFR-12FTF52-1K5,2,Yageo Group,MFR-12FTF52-1K5,https://octopart.com/part/yageo-group/MFR-12FTF52-1K5,"Fixed Resistor, Metal Film, 0.1666W, 1500ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",1.5k resistor (1/6w),,,Production (Last Updated: 11 months ago),19w,Compliant,2,603-MFR-12FTF52-1K5,Ammo Pack,0.1,14312,1,https://octopart.com/opatz8j6/a1?t=Dndxe1wLfUEJ9XSsd5QkK5ABvLc_xH2TfDqp6UGQ2rpdGlNO0WeH7f-tVFJQQE-6B2u1M4-CE0HKKkurv2mXbvmuWosSgH4JPwIg4755OEwoLEzTtROPfMl6xH75iXSnXhZ0GaNhIgOfp8iC7Jrgfo3LDgy8fFR5me60QU8UB1NNWTsmwTtXAwKaXHOVyaRUFGGcQOsekvHvRVsTdC_dU-abVc9sAGub9SJj-T7DSnRF_dfc63kROin1bnXoxfS1Dyj5WibnGXnMqYef7NgmdO7TKBQ,Mouser,603-MFR-12FTF52-1K5,Ammo Pack,0.1,0.2,0.2,14312,1,https://octopart.com/opatz8j6/a1?t=Dndxe1wLfUEJ9XSsd5QkK5ABvLc_xH2TfDqp6UGQ2rpdGlNO0WeH7f-tVFJQQE-6B2u1M4-CE0HKKkurv2mXbvmuWosSgH4JPwIg4755OEwoLEzTtROPfMl6xH75iXSnXhZ0GaNhIgOfp8iC7Jrgfo3LDgy8fFR5me60QU8UB1NNWTsmwTtXAwKaXHOVyaRUFGGcQOsekvHvRVsTdC_dU-abVc9sAGub9SJj-T7DSnRF_dfc63kROin1bnXoxfS1Dyj5WibnGXnMqYef7NgmdO7TKBQ,
MFR-12FTF52-5K1,2,Yageo Group,MFR-12FTF52-5K1,https://octopart.com/part/yageo-group/MFR-12FTF52-5K1,"Fixed Resistor, Metal Film, 0.1667W, 5100ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",5.1k resistor (1/6w),,,Production (Last Updated: 1 month ago),16w,Compliant,2,603-MFR-12FTF52-5K1,Ammo Pack,0.1,13318,1,https://octopart.com/opatz8j6/a1?t=VEJtSi7EjGYJ2vK0cRigRUfAad8xNWm50Smucq2RWARQ9gz5qlrC0kGDJre5Syzt31lxKUUhHmzrSbQiChC_vJqc69IHp2dGwA0gGyMAEd2kskoqMmhPRtZe_l-g4eZVcty0T3rvc87a7BV5MwDSO87AZaSL6gtO6b7k1R-6YHAXv2GhoXjPg4rsw024sb7a6Y9UvNIcV9Mv8_iNNoE0RyI_Z8vyOA1k7Y685IUfgvGh2nvFVw6qvmW6oWj1pYD4K7Hl5dtT9nlkqDXWTB_kCRKtHh8,Mouser,603-MFR-12FTF52-5K1,Ammo Pack,0.1,0.2,0.2,13318,1,https://octopart.com/opatz8j6/a1?t=VEJtSi7EjGYJ2vK0cRigRUfAad8xNWm50Smucq2RWARQ9gz5qlrC0kGDJre5Syzt31lxKUUhHmzrSbQiChC_vJqc69IHp2dGwA0gGyMAEd2kskoqMmhPRtZe_l-g4eZVcty0T3rvc87a7BV5MwDSO87AZaSL6gtO6b7k1R-6YHAXv2GhoXjPg4rsw024sb7a6Y9UvNIcV9Mv8_iNNoE0RyI_Z8vyOA1k7Y685IUfgvGh2nvFVw6qvmW6oWj1pYD4K7Hl5dtT9nlkqDXWTB_kCRKtHh8,
MFR-12FTF52-10K,1,Yageo Group,MFR-12FTF52-10K,https://octopart.com/part/yageo-group/MFR-12FTF52-10K,"Fixed Resistor, Metal Film, 0.1666W, 10000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",10k resistor (1/6w),,,Production (Last Updated: 1 month ago),18w,Compliant,1,603-MFR-12FTF52-10K,Ammo Pack,0.1,1158,1,https://octopart.com/opatz8j6/a1?t=PZalK-Ob5Urm25pE-BkEa63MngVI2rf2vKTFiQg6jS9AQeQKHeGrpt_p0mkD9VD8XBH_lfnYuQ0H2Rnl7F4VfIZ51MxssQJ-45rGq-pUmooX369nMeoZYQy8dEI1dtLj0lU55l5ePU8bEpe1wlYfWIQE5UnadGJkH3ZQBmZQyzEJHEl62DL03K_OpDjDhvQCrL18GNlMO_HYVo6DKd1STfTMRkm9sASuBqK6_2sEgmRmXkBJVvoE0THtU-5Vd-ICXAvkRqWzWwrBx86iYuzAGVGTjp4,Mouser,603-MFR-12FTF52-10K,Ammo Pack,0.1,0.1,0.1,1158,1,https://octopart.com/opatz8j6/a1?t=PZalK-Ob5Urm25pE-BkEa63MngVI2rf2vKTFiQg6jS9AQeQKHeGrpt_p0mkD9VD8XBH_lfnYuQ0H2Rnl7F4VfIZ51MxssQJ-45rGq-pUmooX369nMeoZYQy8dEI1dtLj0lU55l5ePU8bEpe1wlYfWIQE5UnadGJkH3ZQBmZQyzEJHEl62DL03K_OpDjDhvQCrL18GNlMO_HYVo6DKd1STfTMRkm9sASuBqK6_2sEgmRmXkBJVvoE0THtU-5Vd-ICXAvkRqWzWwrBx86iYuzAGVGTjp4,
