Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,Packaging,Unit Price (@ Batch Size: 1),In Stock,MOQ,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Mouser,Mouser,Mouser,Mouser,Mouser,Mouser,,,,,,,,,,
ATMEGA32A-PU,1,Microchip,ATMEGA32A-PU,https://octopart.com/atmega32a-pu-microchip-77760288,32KB 2.7V~5.5V AVR 2KB 16MHz FLASH 32 DIP-40 Microcontroller Units (MCUs/MPUs/SOCs) ROHS,atmega32a-pu,,,Production (Last Updated: 4 years ago),6w,Compliant,1,556-ATMEGA32A-PU,Tube,4.89,756,1,https://octopart.com/opatz8j6/a1?t=AesNp0clGKDtRPoURHU21AahSazP9LLbThNEb0hgizDc23dGA2MLdzQbxrJkx8N_vcn7Ks33hecNG9PRpl844bBkF1qOHf9_z-qd-BTRlBKMZ6yk_1D_VqPk401qxI3UvbMEkWJ-xpEm52p3lV84liKeA_0CKvDAflLB_fGgfCOcJbybwnmSBBC1kbfsv3bMR_ZbIFE_SsbXT8q6vntaz3alpLK1RGzQLVGEnBlqD6ejshH5ryhYs2HW5tvd7aX46J6U5wA,Mouser,556-ATMEGA32A-PU,Tube,4.89,4.89,4.89,756,1,https://octopart.com/opatz8j6/a1?t=AesNp0clGKDtRPoURHU21AahSazP9LLbThNEb0hgizDc23dGA2MLdzQbxrJkx8N_vcn7Ks33hecNG9PRpl844bBkF1qOHf9_z-qd-BTRlBKMZ6yk_1D_VqPk401qxI3UvbMEkWJ-xpEm52p3lV84liKeA_0CKvDAflLB_fGgfCOcJbybwnmSBBC1kbfsv3bMR_ZbIFE_SsbXT8q6vntaz3alpLK1RGzQLVGEnBlqD6ejshH5ryhYs2HW5tvd7aX46J6U5wA,
1-2199299-5,1,TE Connectivity,1-2199299-5,https://octopart.com/1-2199299-5-te+connectivity-34963610,"40 Position Dual Wipe Ladder Style DIP IC Socket 0.6"" Wide 0.1"" Pitch",40 pin ic socket,,,Production (Last Updated: 2 weeks ago),5w,Compliant,1,571-1-2199299-5,Tube,1,4653,1,https://octopart.com/opatz8j6/a1?t=jrFshhs7Bk6USFFHTtsug8yDkNVqParyBUHZrwc0lMUxOuuw0U8CMpYLPXBxEaw5eZPPKnpkWSoF8YWslwDfdC5x7sA8OFVzHEAEC-00zLm7pBuu4vaxev68g8YNS2-PaNovQUXOL6h0WUdK-3MWEvKU5CTU3F6ond53dnvDK99lyfhWOXWq_kDDkxt0GGyLW47uKtcAr-W0Kvyts3rijDdo4CgGhZksRlK-QiVhTrzDrmVcVWH0AadqXwkcsajVoY0f8CE,Mouser,571-1-2199299-5,Tube,1,1,1,4653,1,https://octopart.com/opatz8j6/a1?t=jrFshhs7Bk6USFFHTtsug8yDkNVqParyBUHZrwc0lMUxOuuw0U8CMpYLPXBxEaw5eZPPKnpkWSoF8YWslwDfdC5x7sA8OFVzHEAEC-00zLm7pBuu4vaxev68g8YNS2-PaNovQUXOL6h0WUdK-3MWEvKU5CTU3F6ond53dnvDK99lyfhWOXWq_kDDkxt0GGyLW47uKtcAr-W0Kvyts3rijDdo4CgGhZksRlK-QiVhTrzDrmVcVWH0AadqXwkcsajVoY0f8CE,
512-1N4148TR,69,onsemi,1N4148TR,https://octopart.com/1n4148tr-onsemi-84323125,"Rectifier Diode, 1 Phase, 1 Element, 0.2A, 100V V(RRM), Silicon, DO-35",1n4148 diode,,,Production (Last Updated: 4 years ago),8w,Compliant,69,512-1N4148TR,Tape & Reel,0.041,352795,1,https://octopart.com/opatz8j6/a1?t=FdK4y8B2wtz7XeNty67kzqYkZ5NY937zNHjXEDBNT31k2QrvOhR3gSL440O3zKVYI1n-1iaWNtHlDE9m3eKdD8w4Xd209-x21wKrGNQgXKcNrJgL6H5RXMnRF2sp56kewqEuepdQO2XcYCa_FoyK_k0B_uaq55rmLlDkHWIoFbKlJzJ9xJ8RSVv-Yi2LQMlspF4rcYST_zISaHD7PmEY573jSRRw-bno_z3V5T0atdosJ5BsakZYg6U8c_lt6MOoOzQlQfY,Mouser,512-1N4148TR,Tape & Reel,0.041,2.829,2.829,352795,1,https://octopart.com/opatz8j6/a1?t=FdK4y8B2wtz7XeNty67kzqYkZ5NY937zNHjXEDBNT31k2QrvOhR3gSL440O3zKVYI1n-1iaWNtHlDE9m3eKdD8w4Xd209-x21wKrGNQgXKcNrJgL6H5RXMnRF2sp56kewqEuepdQO2XcYCa_FoyK_k0B_uaq55rmLlDkHWIoFbKlJzJ9xJ8RSVv-Yi2LQMlspF4rcYST_zISaHD7PmEY573jSRRw-bno_z3V5T0atdosJ5BsakZYg6U8c_lt6MOoOzQlQfY,
TZX3V6A-TR,2,Vishay,TZX3V6A-TR,https://octopart.com/tzx3v6a-tr-vishay-41954837,"Zener Diode, single, Two Terminal, do-204Ah |Vishay TZX3V6A-TR",zener diode (3.6v),,,,10w,Compliant,2,78-TZX3V6A,Tape & Reel,0.1,49242,1,https://octopart.com/opatz8j6/a1?t=bCEkjmN7I2-2l4HuN7s-_-TdGeU9yvIL1cJ8KD_VTWsshYCzDM9G-9FMGwqW6O6U8q7KWT2TK2UiigdOV01VZfpM3azQh6_9GP3q2gkDCXEBYRdzdlqnzdQdAV847sjEHThX92O7bfJXoEastRAZKPDopHcTDdIsTBPY8TtI9d-5bikdJ9GFeI9RhtdnSbzBuAVjs5dU5OgXhyZcx8bjEPPRUJSmHIc3ds2eJVLtgGzkV8FBycUdAsFZSePjeIxaVMnItcY,Mouser,78-TZX3V6A,Tape & Reel,0.1,0.2,0.2,49242,1,https://octopart.com/opatz8j6/a1?t=bCEkjmN7I2-2l4HuN7s-_-TdGeU9yvIL1cJ8KD_VTWsshYCzDM9G-9FMGwqW6O6U8q7KWT2TK2UiigdOV01VZfpM3azQh6_9GP3q2gkDCXEBYRdzdlqnzdQdAV847sjEHThX92O7bfJXoEastRAZKPDopHcTDdIsTBPY8TtI9d-5bikdJ9GFeI9RhtdnSbzBuAVjs5dU5OgXhyZcx8bjEPPRUJSmHIc3ds2eJVLtgGzkV8FBycUdAsFZSePjeIxaVMnItcY,
MF-R050,1,Bourns,MF-R050,https://octopart.com/mf-r050-bourns-19418,PTC Resettable Fuse 0.5A(hold) 1A(trip) 60V 40A 0.75W 4s 0.41Ohm Radial 7.9 X 3.1mm Bulk Automotive,500mA fuse,,,,17w,Compliant,1,652-MFR050,Bulk,0.38,10421,1,https://octopart.com/opatz8j6/a1?t=qx_0Vu_u2c2lHI5mLCBnDdBvcxYDXfHkn_kVQGfOTIQopuvIoxrT-RIDy0f2jH9Rk0hG2caYmAEBa-N-dR2vpCBVGPwRBKpGe6--LYr8Y6zdCs63wjj6M_rbUjMtyd-u-qtCXFt312plvruhhIUPQy_Q9tlv-qvZDERc0-1jEgOk5L21rcrMCzX0KDSM1Ic93hLp3vsAJ6A8S7_WHfm4uTW6XsD6bxyXt5h5oF9OLp6Idn4Wlo2VCmdUSVFw55PRSw,Mouser,652-MFR050,Bulk,0.38,0.38,0.38,10421,1,https://octopart.com/opatz8j6/a1?t=qx_0Vu_u2c2lHI5mLCBnDdBvcxYDXfHkn_kVQGfOTIQopuvIoxrT-RIDy0f2jH9Rk0hG2caYmAEBa-N-dR2vpCBVGPwRBKpGe6--LYr8Y6zdCs63wjj6M_rbUjMtyd-u-qtCXFt312plvruhhIUPQy_Q9tlv-qvZDERc0-1jEgOk5L21rcrMCzX0KDSM1Ic93hLp3vsAJ6A8S7_WHfm4uTW6XsD6bxyXt5h5oF9OLp6Idn4Wlo2VCmdUSVFw55PRSw,
603-CFR-12JR-52-75R,2,Yageo Group,CFR-12JR-52-75R,https://octopart.com/cfr-12jr-52-75r-yageo+group-22569004,General Type Carbon Film Resistor 75Ohm 1/6W 5% Axial T/R,75 ohm resistor (1/6w),,,,16w,Compliant,2,603-CFR-12JR-52-75R,Tape & Reel,0.1,10189,1,https://octopart.com/opatz8j6/a1?t=DnPQo6jSQM0Ubu5EPPmKM_IpksZiZTaWIfEqgiH0nmplB2xW6EIfFGghZQrJmeJce9_Lwp9HBcO-B1Kq0RKo2NtSSAYgDZRXZdnlUciXC0iOsa786kbpBngVsAYeCTNl4nsOOgW8IlpgvMKSkGJItCWH4xHZDniRBJe7UOeuFpqpoAfULTL4_u0rKTrcXRNM8-2_egw0A4yd87uSqVBDpzG3gaNPfJPEzhrlq3P10eBZcSy74s2B0cFLLOY1dUlEjNBvsZU,Mouser,603-CFR-12JR-52-75R,Tape & Reel,0.1,0.2,0.2,10189,1,https://octopart.com/opatz8j6/a1?t=DnPQo6jSQM0Ubu5EPPmKM_IpksZiZTaWIfEqgiH0nmplB2xW6EIfFGghZQrJmeJce9_Lwp9HBcO-B1Kq0RKo2NtSSAYgDZRXZdnlUciXC0iOsa786kbpBngVsAYeCTNl4nsOOgW8IlpgvMKSkGJItCWH4xHZDniRBJe7UOeuFpqpoAfULTL4_u0rKTrcXRNM8-2_egw0A4yd87uSqVBDpzG3gaNPfJPEzhrlq3P10eBZcSy74s2B0cFLLOY1dUlEjNBvsZU,
MFR-12FTF52-1K5,2,Yageo Group,MFR-12FTF52-1K5,https://octopart.com/mfr-12ftf52-1k5-yageo+group-70521551,"Fixed Resistor, Metal Film, 0.1667W, 1500ohm, 200V, 1% +/-Tol, 100ppm/Cel, Through Hole Mount",1.5k resistor (1/6w),,,,19w,Compliant,2,603-MFR-12FTF52-1K5,Ammo Pack,0.1,9981,1,https://octopart.com/opatz8j6/a1?t=Qtij7buRzqFZegZQ1iK5Fs5pK1R_B66LFdRBiYCiQ_Fbhjt6eZmI4zukiGKQiEEiWaOb4aH78MlaL-KVWbiJgvCOfX5EoTjKC7Jz8VWp2KZ0cc6yoOiyopsP2KyN0wX9R06I0bkT1ZH5m5KOsGcpMwZzQrxCxRQCNrCeW-OksNDihMTwtaiLUsRvr2mucdVbRLj90-08gJg3FmN7pc478_8N73ZiCf-kmqx_2A3ZtJaSddfyUhFDFd0RaOl2FeNdi8c_-RM,Mouser,603-MFR-12FTF52-1K5,Ammo Pack,0.1,0.2,0.2,9981,1,https://octopart.com/opatz8j6/a1?t=Qtij7buRzqFZegZQ1iK5Fs5pK1R_B66LFdRBiYCiQ_Fbhjt6eZmI4zukiGKQiEEiWaOb4aH78MlaL-KVWbiJgvCOfX5EoTjKC7Jz8VWp2KZ0cc6yoOiyopsP2KyN0wX9R06I0bkT1ZH5m5KOsGcpMwZzQrxCxRQCNrCeW-OksNDihMTwtaiLUsRvr2mucdVbRLj90-08gJg3FmN7pc478_8N73ZiCf-kmqx_2A3ZtJaSddfyUhFDFd0RaOl2FeNdi8c_-RM,
MFR-12FTF52-5K1,2,Yageo Group,MFR-12FTF52-5K1,https://octopart.com/mfr-12ftf52-5k1-yageo+group-27599083,General Type Metal Film Resistor 5.1kOhm 1/6W 1% Axial Ammo Pack,5.1k resistor (1/6w),,,,16w,Compliant,2,603-MFR-12FTF52-5K1,Ammo Pack,0.1,9219,1,https://octopart.com/opatz8j6/a1?t=0pJxQUs_g6iUoDFsUGXg-2RlH4y_ZiKkGVx9i-Mc1lN0odFnlf3G-HLfEDCbTKKH0YcWykmAWAJCsKBmPE4Hyu8eO1MmeU9i8VBETsHXcj8qsEGtzS705ztZlKcIFYEad90vSlywCK0YQrINPwfdkAb15xKFOBioencm5xUGBqpsch5omgaotnxX5L-bbZfA4UTnZn5ExQZ-85rPUH0GJ1b7c66cdUuuiKvuW_yPW_ST4KAyg8pzP3aANkv_5Z_qkWV0IA,Mouser,603-MFR-12FTF52-5K1,Ammo Pack,0.1,0.2,0.2,9219,1,https://octopart.com/opatz8j6/a1?t=0pJxQUs_g6iUoDFsUGXg-2RlH4y_ZiKkGVx9i-Mc1lN0odFnlf3G-HLfEDCbTKKH0YcWykmAWAJCsKBmPE4Hyu8eO1MmeU9i8VBETsHXcj8qsEGtzS705ztZlKcIFYEad90vSlywCK0YQrINPwfdkAb15xKFOBioencm5xUGBqpsch5omgaotnxX5L-bbZfA4UTnZn5ExQZ-85rPUH0GJ1b7c66cdUuuiKvuW_yPW_ST4KAyg8pzP3aANkv_5Z_qkWV0IA,
MFR-12FTF52-10K,1,Yageo Group,MFR-12FTF52-10K,https://octopart.com/mfr-12ftf52-10k-yageo+group-27599081,Res Metal Film 10K Ohm 1% 0.167W ±100ppm/C AXL Tape and Box Automotive AEC-Q200,10k resistor (1/6w),,,,19w,Compliant,1,603-MFR-12FTF52-10K,Ammo Pack,0.12,24317,1,https://octopart.com/opatz8j6/a1?t=pHF0EFLEtqSBkxNbSEyvs_L9NdhjZRw__dKET-XV7WZR_pio1FOjmuDUdNkjN0vdagLxcDxrgNr-afz-l4Q9x2xeJNd-GREnS3tZL0KY-qZLGtQkbTqYp0bRitQGVjFzjjdgHkVexgchPz7DQCojetJ7M7AGWQsFzzRWVHXrZ_K9wwDPNoUFfnIKxEG4vUWSMBBrBFXpZcBWt7Bh-T1B1PJxXt4GMyKLvjiFCzE6_wx-I4dnKIFh1bkXL6tV9BtD8YtOnQ,Mouser,603-MFR-12FTF52-10K,Ammo Pack,0.12,0.12,0.12,24317,1,https://octopart.com/opatz8j6/a1?t=pHF0EFLEtqSBkxNbSEyvs_L9NdhjZRw__dKET-XV7WZR_pio1FOjmuDUdNkjN0vdagLxcDxrgNr-afz-l4Q9x2xeJNd-GREnS3tZL0KY-qZLGtQkbTqYp0bRitQGVjFzjjdgHkVexgchPz7DQCojetJ7M7AGWQsFzzRWVHXrZ_K9wwDPNoUFfnIKxEG4vUWSMBBrBFXpZcBWt7Bh-T1B1PJxXt4GMyKLvjiFCzE6_wx-I4dnKIFh1bkXL6tV9BtD8YtOnQ,
