Component,Qty,Manufacturer,MPN,Category,Optional?,Notes,Source
"NOTE: This is a starter ""lab"" order for learning the ESP32 ecosystem, refined from an initial ChatGPT brainstorm (see esp32.md / project.md in this folder). Most parts below are generic hobby modules not typically listed on Octopart - source from Amazon/Adafruit/AliExpress as noted.",,,,,,,../esp32/project.md
ESP32-S3 DevKit (N16R8 - 16MB Flash / 8MB PSRAM),2,Espressif or compatible clone,ESP32-S3-DevKitC-1-N16R8,Dev Board,Required,"VERIFY listing explicitly states N16R8 - many similarly priced ""ESP32-S3 DevKit"" listings are actually N8R2 or N4R2 (less flash/PSRAM). Also verify the board exposes TWO USB-C ports (native USB + UART) - single-port boards often only wire up the UART bridge, which blocks native USB HID/MIDI projects.",Amazon/Espressif/AliExpress
ESP32-C3 SuperMini,5,Generic (various OEMs),ESP32-C3-SuperMini,Dev Board,Required,"Tiny BLE/Wi-Fi board with a single native-USB USB-C port. Early production batches had a marginal onboard antenna/3.3V LDO - buy from a listing with recent (2024+) reviews.",Amazon/AliExpress
ESP32-C6 DevKit,1,Espressif,ESP32-C6-DevKitC-1,Dev Board,Required,"Wi-Fi 6 + 802.15.4 (Zigbee/Thread/Matter) + BLE5. Prefer the official Espressif DevKitC-1/DevKitM-1 over clones for this one - antenna/radio cert matters more for 802.15.4 mesh use.",Amazon/Espressif/Adafruit
ESP32-CAM (OV2640 camera module),1,AI-Thinker,ESP32-CAM,Dev Board,Optional,"Fun optional camera project board. Has NO onboard USB port - requires the FTDI/CP2102 adapter below to flash, plus jumpering GPIO0 to GND during reset to enter flash mode.",Amazon/AliExpress
FTDI / CP2102 USB-TTL Adapter (5V),1,Generic,CP2102,Programmer,Optional,"Only needed if buying the ESP32-CAM above - it has no onboard USB-serial bridge. Skip if not buying the CAM.",Amazon
0.96in I2C OLED Display (SSD1306, 128x64, 4-pin),2,Generic,SSD1306,Display,Required,"Buy the 4-pin I2C version (VCC/GND/SCL/SDA) - avoid 7-pin SPI variants unless you also want to learn SPI wiring.",Amazon/Adafruit
EC11 Rotary Encoder w/ Pushbutton (7-pin),5,Generic,EC11,Encoder,Required,"Same part already used in the DumbPad BOM (BOM/dumbpad_bom.csv) - check for leftover stock before ordering more.",Amazon
BME280 Environmental Sensor Breakout (Temp/Humidity/Pressure),3,Bosch (sensor) / generic breakout,BME280,Sensor,Required,"Buy the 3.3V I2C breakout module (commonly silkscreened ""GY-BME280""), not the raw SMD part.",Amazon/Adafruit
WS2812B Addressable RGB LEDs (strip or ring),1,Worldsemi,WS2812B,LED,Required,"You already have RGB keyboard experience with these - check existing stock/spares from keyboard builds before ordering.",Amazon/Adafruit
MPU6050 IMU Breakout,1,InvenSense,MPU6050,Sensor,Optional,"Skip unless a motion-sensing project (e.g. gesture macro pad) is planned in the near term.",Amazon
USB-C Cable (verified data-capable, not charge-only),4,Generic,N/A,Cable,Required,"Cheap ""charge-only"" USB-C cables are the #1 cause of ""board won't flash/enumerate"" issues - buy cables explicitly reviewed/marked for data transfer.",Amazon
Breadboard (830-point),2,Generic,N/A,Prototyping,Required,,Amazon
Jumper Wire Kit (M-M / M-F / F-F assortment),1,Generic,N/A,Prototyping,Required,,Amazon
USB Logic Analyzer (8-channel, sigrok/PulseView-compatible),1,Generic,CY7C68013A-based clone,Test Equipment,Optional,"Useful given existing embedded/keyboard-matrix debugging experience. Use free PulseView/sigrok software with these clones rather than paid Saleae software.",Amazon
Header Pins / Perfboard,1,Generic,N/A,Prototyping,Optional,"Handy once a project graduates off the breadboard to something semi-permanent.",Amazon
